ModelName,PlistName,Ipname
CHNPRR0,BILBO_8C_ATOM_VMIN_CHKATOMF1_List,
CHNPRR0,BILBO_8C_ATOM_VMIN_SRHATOMF1_List,
CHNPRR0,FCSDRG_2C_CLR_VMIN_CHKRINGF7_P_CORE01_list,
CHNPRR0,FCSDRG_2C_CLR_VMIN_CHKRINGF7_P_CORE23_list,
CHNPRR0,FCSDRG_2C_CLR_VMIN_CHKRINGF7_P_CORE45_list,
CHNPRR0,FCSDRG_2C_CLR_VMIN_CHKRINGF7_P_CORE67_list,
CHNPRR0,FCSDRG_2C_CLR_VMIN_SRHRINGF7_P_CORE01_list,
CHNPRR0,FCSDRG_2C_CLR_VMIN_SRHRINGF7_P_CORE45_list,
CHNPRR0,FCSDRG_2C_CRX2_VMIN_CHKIAF7_P_X_list,
CHNPRR0,FCSDRG_2C_CRX2_VMIN_SRHIAF7_P_X_list,
CHNPRR0,FCSDRG_2C_CR_VMIN_CHKIAF7_P_X_list,
CHNPRR0,FCSDRG_2C_CR_VMIN_SRHIAF7_P_X_list,
CHNPRR0,FCSDRG_8C_CLR_VMIN_CHKRINGF0_P_X_list,
CHNPRR0,FCSDRG_8C_CLR_VMIN_CHKRINGF4_P_X_list,
CHNPRR0,FCSDRG_8C_CLR_VMIN_SRHRINGF0_P_X_list,
CHNPRR0,FCSDRG_8C_CLR_VMIN_SRHRINGF2_P_X_list,
CHNPRR0,FCSDRG_8C_CLR_VMIN_SRHRINGF3_P_X_list,
CHNPRR0,FCSDRG_8C_CLR_VMIN_SRHRINGF4_P_X_list,
CHNPRR0,FCSDRG_8C_CRX2_VMIN_CHKIAF0_P_X_list,
CHNPRR0,FCSDRG_8C_CRX2_VMIN_CHKIAF4_P_X_list,
CHNPRR0,FCSDRG_8C_CR_VMIN_CHKIAF0_P_X_list,
CHNPRR0,FCSDRG_8C_CR_VMIN_CHKIAF4_P_X_list,
CHNPRR0,FCSDRG_8C_CR_VMIN_SRHIAF0_P_X_list,
CHNPRR0,FCSDRG_8C_CR_VMIN_SRHIAF1_P_X_list,
CHNPRR0,FCSDRG_8C_CR_VMIN_SRHIAF3_P_X_list,
CHNPRR0,FCSDRG_8C_CR_VMIN_SRHIAF4_P_X_list,
CHNPRR0,FCSDRG_8C_CR_VMIN_SRHIAF5_P_X_list,
CHNPRR0,FCSDRG_8C_CR_VMIN_SRHIAF6_P_X_list,
CHNPRR0,L2SBFT_8C_ATOML_VMIN_CHKATOMF1_Dragon_List,
CHNPRR0,L2SBFT_8C_ATOML_VMIN_CHKATOMF1_Legacy_List,
CHNPRR0,L2SBFT_8C_ATOML_VMIN_CHKATOMF4_Dragon_List,
CHNPRR0,L2SBFT_8C_ATOML_VMIN_CHKATOMF5_Dragon_List,
CHNPRR0,L2SBFT_8C_ATOML_VMIN_SRHATOMF1_Legacy_List,
CHNPRR0,L2SBFT_8C_ATOML_VMIN_SRHATOMF2_Legacy_List,
CHNPRR0,L2SBFT_8C_ATOML_VMIN_SRHATOMF4_Dragon_List,
CHNPRR0,L2SBFT_8C_ATOML_VMIN_SRHATOMF5_Dragon_List,
CHNPRR0,L2SBFT_8C_ATOM_VMIN_CHKATOMF1_Dragon_List,
CHNPRR0,L2SBFT_8C_ATOM_VMIN_CHKATOMF1_Lockstep_List,
CHNPRR0,L2SBFT_8C_ATOM_VMIN_CHKATOMF4_Dragon_List,
CHNPRR0,L2SBFT_8C_ATOM_VMIN_CHKATOMF5_Dragon_List,
CHNPRR0,L2SBFT_8C_ATOM_VMIN_SRHATOMF1_Dragon_List,
CHNPRR0,L2SBFT_8C_ATOM_VMIN_SRHATOMF1_Lockstep_List,
CHNPRR0,L2SBFT_8C_ATOM_VMIN_SRHATOMF2_Lockstep_List,
CHNPRR0,L2SBFT_8C_ATOM_VMIN_SRHATOMF3_Lockstep_List,
CHNPRR0,LLCSBFT_X_GTSM_VMIN_K_CHKGTSMF1_S1_LLC_VCCGT_downsku_list,
CHNPRR0,LLCSBFT_X_GTSM_VMIN_K_CHKGTSMF1_S1_LLC_VCCGT_list,
CHNPRR0,LLCSBFT_X_GTSM_VMIN_K_SRHGTSMF1_S1_LLC_VCCGT_list,
CHNPRR0,SBFT_8C_CLR_VMIN_SRHRINGF0_X_list,
CHNPRR0,SBFT_8C_CRX2_VMIN_CHKIAF0_S1_X_list,
CHNPRR0,SBFT_8C_CRX2_VMIN_CHKIAF4_S1_X_list,
CHNPRR0,SBFT_8C_CRX2_VMIN_CHKIAF7_S1_X_list,
CHNPRR0,SBFT_8C_CRX2_VMIN_SRHIAF0_S1_X_list,
CHNPRR0,SBFT_8C_CRX2_VMIN_SRHIAF1_S1_X_list,
CHNPRR0,SBFT_8C_CRX2_VMIN_SRHIAF2_S1_X_list,
CHNPRR0,SBFT_8C_CRX2_VMIN_SRHIAF3_S1_X_list,
CHNPRR0,SBFT_8C_CRX2_VMIN_SRHIAF4_S1_X_list,
CHNPRR0,SBFT_8C_CRX2_VMIN_SRHIAF5_S1_X_list,
CHNPRR0,SBFT_8C_CRX2_VMIN_SRHIAF6_S1_X_list,
CHNPRR0,SBFT_8C_CRX2_VMIN_SRHIAF7_S1_X_list,
CHNPRR0,SBFT_8C_CR_VMIN_CHKIAF0_S1_X_list,
CHNPRR0,SBFT_8C_CR_VMIN_CHKIAF4_S1_X_list,
CHNPRR0,SBFT_8C_CR_VMIN_CHKIAF7_S1_X_list,
CHNPRR0,SBFT_8C_CR_VMIN_SRHIAF0_S1_X_list,
CHNPRR0,SBFT_8C_CR_VMIN_SRHIAF1_S1_X_list,
CHNPRR0,SBFT_8C_CR_VMIN_SRHIAF2_S1_X_list,
CHNPRR0,SBFT_8C_CR_VMIN_SRHIAF3_S1_X_list,
CHNPRR0,SBFT_8C_CR_VMIN_SRHIAF4_S1_X_list,
CHNPRR0,SBFT_8C_CR_VMIN_SRHIAF5_S1_X_list,
CHNPRR0,SBFT_8C_CR_VMIN_SRHIAF6_S1_X_list,
CHNPRR0,SBFT_8C_CR_VMIN_SRHIAF7_S1_X_list,
CHNPRR0,SLICE_8C_ATOM_VMIN_CHKRINGF4_List,
CHNPRR0,SLICE_8C_ATOM_VMIN_SRHRINGF3_List,
CHNPRR0,SLICE_8C_ATOM_VMIN_SRHRINGF4_List,
CHNPRR0,SLICE_8C_ATOM_VMIN_SRHRINGF5_List,
CHNPRR0,array_epbist_sino_atomclk_CHKATOMF1_atomcore_lsa_arr_reduce_list,
CHNPRR0,array_epbist_sino_atomclk_CHKATOMF1_atomcore_lsa_ic_reduce_list,
CHNPRR0,array_epbist_sino_atomclk_CHKATOMF1_atomcore_lsa_l2_lru_db_reduce_list,
CHNPRR0,array_epbist_sino_atomclk_CHKATOMF1_atomcore_lsa_mec_reduce_list,
CHNPRR0,array_epbist_sino_atomclk_CHKATOMF1_atomcore_lsa_ms_reduce_list,
CHNPRR0,array_epbist_sino_atomclk_CHKATOMF1_atomcore_ssa_l2_data_msdb_reduce_list,
CHNPRR0,array_epbist_sino_atomclk_CHKATOMF1_atomcore_ssa_l2_tsp_msdb_reduce_list,
CHNPRR0,array_epbist_sino_atomclk_CHKATOMF4_atomcore_ks_ssa_l2_data_msdb_list,
CHNPRR0,array_epbist_sino_atomclk_CHKATOMF4_atomcore_ks_ssa_l2_tsp_msdb_list,
CHNPRR0,array_epbist_sino_atomclk_CHKATOMF5_atomcore_ks_ssa_l2_data_msdb_list,
CHNPRR0,array_epbist_sino_atomclk_CHKATOMF5_atomcore_ks_ssa_l2_tsp_msdb_list,
CHNPRR0,array_epbist_sino_atomclk_SRHATOMF1_atomcore_cam_list,
CHNPRR0,array_epbist_sino_atomclk_SRHATOMF1_atomcore_lsa_arr_reduce_list,
CHNPRR0,array_epbist_sino_atomclk_SRHATOMF1_atomcore_lsa_ic_reduce_list,
CHNPRR0,array_epbist_sino_atomclk_SRHATOMF1_atomcore_lsa_l2_lru_db_reduce_list,
CHNPRR0,array_epbist_sino_atomclk_SRHATOMF1_atomcore_lsa_mec_reduce_list,
CHNPRR0,array_epbist_sino_atomclk_SRHATOMF1_atomcore_lsa_ms_reduce_list,
CHNPRR0,array_epbist_sino_atomclk_SRHATOMF1_atomcore_ssa_l2_data_msdb_reduce_list,
CHNPRR0,array_epbist_sino_atomclk_SRHATOMF1_atomcore_ssa_l2_tsp_msdb_reduce_list,
CHNPRR0,array_epbist_sino_atomclk_SRHATOMF2_atomcore_ks_ssa_l2_data_msdb_list,
CHNPRR0,array_epbist_sino_atomclk_SRHATOMF2_atomcore_ks_ssa_l2_tsp_msdb_list,
CHNPRR0,array_epbist_sino_atomclk_SRHATOMF3_atomcore_ks_ssa_l2_data_msdb_list,
CHNPRR0,array_epbist_sino_atomclk_SRHATOMF3_atomcore_ks_ssa_l2_tsp_msdb_list,
CHNPRR0,array_epbist_sino_atomclk_SRHATOMF4_atomcore_ks_ssa_l2_data_msdb_list,
CHNPRR0,array_epbist_sino_atomclk_SRHATOMF4_atomcore_ks_ssa_l2_tsp_msdb_list,
CHNPRR0,array_epbist_sino_atomclk_SRHATOMF5_atomcore_ks_ssa_l2_data_msdb_list,
CHNPRR0,array_epbist_sino_atomclk_SRHATOMF5_atomcore_ks_ssa_l2_tsp_msdb_list,
CHNPRR0,array_pbist_sino_mclk_CHKIAF0_core_lsa_rf_oooexefe_reduce_list,
